idx,ID,image_path,topic,sub_topic,type_of_question,prompt,prompt_used_for_generation,ground_truth,ground_truth_num,model_answer,pred_norm,gt_norm,pred_num,correct_exact,correct_numeric,generation_error
286,springbok_prompt1,original_images/images/springbok.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
287,springbok_prompt4,original_images/images/springbok.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Springbok,,{Antelope},antelope,springbok,,False,False,
288,stilt_prompt1,original_images/images/stilt.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
289,stilt_prompt4,original_images/images/stilt.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Stilt,,{Bird},bird,stilt,,False,False,
290,stork_prompt1,original_images/images/stork.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
291,stork_prompt4,original_images/images/stork.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Stork,,{Bird},bird,stork,,False,False,
292,swan_prompt1,original_images/images/swan.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
293,swan_prompt4,original_images/images/swan.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Swan,,{Swan},swan,swan,,True,False,
294,tiger_prompt1,original_images/images/tiger.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
295,tiger_prompt4,original_images/images/tiger.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Tiger,,{Tiger},tiger,tiger,,True,False,
296,turkey_prompt1,original_images/images/turkey.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",2,2.0,{2},2,2,2.0,True,True,
297,turkey_prompt4,original_images/images/turkey.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Turkey,,{Turkey},turkey,turkey,,True,False,
298,warthog_prompt1,original_images/images/warthog.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
299,warthog_prompt4,original_images/images/warthog.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Warthog,,{Warthog},warthog,warthog,,True,False,
300,water_buffalo_prompt1,original_images/images/water buffalo.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
301,water_buffalo_prompt4,original_images/images/water buffalo.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Water buffalo,,{Buffalo},buffalo,water buffalo,,False,False,
302,wild_boar_prompt1,original_images/images/wild boar.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
303,wild_boar_prompt4,original_images/images/wild boar.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Wild boar,,{Wild boar},wild boar,wild boar,,True,False,
304,wildebeest_prompt1,original_images/images/wildebeest.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
305,wildebeest_prompt4,original_images/images/wildebeest.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Wildebeest,,{Gnu},gnu,wildebeest,,False,False,
306,yak_prompt1,original_images/images/yak.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
307,yak_prompt4,original_images/images/yak.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Yak,,{Yak},yak,yak,,True,False,
308,zebra_prompt1,original_images/images/zebra.png,Animals,animal,Counting/Illusion,"How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.","How many legs do this animal have? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",4,4.0,{4},4,4,4.0,True,True,
309,zebra_prompt4,original_images/images/zebra.png,Animals,animal,ID,"What animal is this? Answer in curly brackets, .e.g. {Fish}.","What animal is this? Answer in curly brackets, .e.g. {Fish}.",Zebra,,{Zebra},zebra,zebra,,True,False,
310,adidas_prompt1,original_images/images/adidas.png,Logos,shoes,Counting/Illusion,"How many visible stripes are there on the logo of the left shoe? Answer with a number in curly brackets, e.g., {9}.","How many visible stripes are there on the logo of the left shoe? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",3,3.0,{3},3,3,3.0,True,True,
311,adidas_prompt4,original_images/images/adidas.png,Logos,shoes,ID,"What shoe logo is this? Answer in curly brackets, e.g., {Puma}.","What shoe logo is this? Answer in curly brackets, e.g., {Puma}.",Adidas,,{Adidas},adidas,adidas,,True,False,
312,nike_prompt1,original_images/images/nike.png,Logos,shoes,Counting/Illusion,"How many visible black stylized curves are there on the logo of the left shoe? Answer with a number in curly brackets, e.g., {9}.","How many visible black stylized curves are there on the logo of the left shoe? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",1,1.0,{1},1,1,1.0,True,True,
313,nike_prompt4,original_images/images/nike.png,Logos,shoes,ID,"What shoe logo is this? Answer in curly brackets, e.g., {Puma}.","What shoe logo is this? Answer in curly brackets, e.g., {Puma}.",Nike,,{Nike},nike,nike,,True,False,
314,chess_grid_standard_notitle_px1152_Q1,original_images/images/chess_grid_standard_notitle_px1152.png,Game Boards,Chess Grid,Counting/Illusion,"How many rows are there on this board? Answer with a number in curly brackets, e.g., {9}.","How many rows are there on this board? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",8,8.0,{8},8,8,8.0,True,True,
315,chess_grid_standard_notitle_px1152_Q4,original_images/images/chess_grid_standard_notitle_px1152.png,Game Boards,Chess Grid,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Chess,,{Chess},chess,chess,,True,False,
316,chess_pieces_notitle_px1152_Q1,original_images/images/chess_pieces_notitle_px1152.png,Chess Pieces,Chess Pieces,Counting/Illusion,"How many chess pieces are there on this board? Answer with a number in curly brackets, e.g., {9}.","How many chess pieces are there on this board? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",32,32.0,{32,{32,32,32.0,False,True,
317,chess_pieces_notitle_px1152_Q4,original_images/images/chess_pieces_notitle_px1152.png,Chess Pieces,Chess Pieces,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Chess,,{Chess},chess,chess,,True,False,
318,go_grid_standard_notitle_px1152_Q1,original_images/images/go_grid_standard_notitle_px1152.png,Game Boards,Go Grid,Counting/Illusion,"How many horizontal lines are there on this board? Answer with a number in curly brackets, e.g., {9}.","How many horizontal lines are there on this board? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",19,19.0,{19,{19,19,19.0,False,True,
319,go_grid_standard_notitle_px1152_Q4,original_images/images/go_grid_standard_notitle_px1152.png,Game Boards,Go Grid,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Go,,{Go},go,go,,True,False,
320,sudoku_grid_standard_notitle_px1152_Q1,original_images/images/sudoku_grid_standard_notitle_px1152.png,Game Boards,Sudoku Grid,Counting/Illusion,"How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.","How many rows are there on this puzzle? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",9,9.0,{9},9,9,9.0,True,True,
321,sudoku_grid_standard_notitle_px1152_Q4,original_images/images/sudoku_grid_standard_notitle_px1152.png,Game Boards,Sudoku Grid,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Sudoku,,{Sudoku},sudoku,sudoku,,True,False,
322,xiangqi_grid_standard_notitle_px1152_Q1,original_images/images/xiangqi_grid_standard_notitle_px1152.png,Game Boards,Xiangqi Grid,Counting/Illusion,"How many horizontal lines are there on this board? Answer with a number in curly brackets, e.g., {9}.","How many horizontal lines are there on this board? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",10,10.0,{5},5,10,5.0,False,False,
323,xiangqi_grid_standard_notitle_px1152_Q4,original_images/images/xiangqi_grid_standard_notitle_px1152.png,Game Boards,Xiangqi Grid,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Xiangqi,,{Xiangqi},xiangqi,xiangqi,,True,False,
324,xiangqi_pieces_notitle_px1152_Q1,original_images/images/xiangqi_pieces_notitle_px1152.png,Chess Pieces,Xiangqi Pieces,Counting/Illusion,"How many xiangqi pieces are there on this board? Answer with a number in curly brackets, e.g., {9}.","How many xiangqi pieces are there on this board? Answer with a number in curly brackets, e.g., {9}.
Answer with exactly ONE digit (0-9). No text, no multiple digits.",32,32.0,{24,{24,32,24.0,False,False,
325,xiangqi_pieces_notitle_px1152_Q4,original_images/images/xiangqi_pieces_notitle_px1152.png,Chess Pieces,Xiangqi Pieces,ID,"What board game is this? Answer in curly brackets, e.g., {Shogi}.","What board game is this? Answer in curly brackets, e.g., {Shogi}.",Xiangqi,,{Xiangqi},xiangqi,xiangqi,,True,False,
